location_iso,location_code,target_end_date,epiweek,hospitalizations
US-AK,02,2024-02-24,202408,4.0
US-AK,02,2024-03-02,202409,11.0
US-AK,02,2024-03-09,202410,5.0
US-AK,02,2024-03-16,202411,9.0
US-AK,02,2024-03-23,202412,10.0
US-AK,02,2024-03-30,202413,8.0
US-AK,02,2024-04-06,202414,7.0
US-AK,02,2024-04-13,202415,4.0
US-AK,02,2024-04-20,202416,2.0
US-AK,02,2024-04-27,202417,5.0
US-AK,02,2024-05-04,202418,3.0
US-AK,02,2024-05-11,202419,6.0
US-AK,02,2024-05-18,202420,1.0
US-AK,02,2024-05-25,202421,2.0
US-AK,02,2024-06-01,202422,3.0
US-AK,02,2024-06-08,202423,3.0
US-AK,02,2024-06-15,202424,3.0
US-AK,02,2024-06-22,202425,6.0
US-AK,02,2024-06-29,202426,3.0
US-AK,02,2024-07-06,202427,1.0
US-AK,02,2024-07-13,202428,1.0
US-AK,02,2024-07-20,202429,3.0
US-AK,02,2024-07-27,202430,1.0
US-AK,02,2024-08-03,202431,0.0
US-AK,02,2024-08-10,202432,0.0
US-AK,02,2024-08-17,202433,4.0
US-AK,02,2024-08-24,202434,0.0
US-AK,02,2024-08-31,202435,0.0
US-AK,02,2024-09-07,202436,1.0
US-AK,02,2024-09-14,202437,2.0
US-AK,02,2024-09-21,202438,3.0
US-AK,02,2024-09-28,202439,0.0
US-AK,02,2024-10-05,202440,1.0
US-AK,02,2024-10-12,202441,1.0
US-AK,02,2024-10-19,202442,1.0
US-AK,02,2024-10-26,202443,3.0
US-AK,02,2024-11-02,202444,8.0
US-AK,02,2024-11-09,202445,6.0
US-AK,02,2024-11-16,202446,9.0
US-AK,02,2024-11-23,202447,7.0
US-AK,02,2024-11-30,202448,10.0
US-AK,02,2024-12-07,202449,18.0
US-AK,02,2024-12-14,202450,27.0
US-AK,02,2024-12-21,202451,22.0
US-AK,02,2024-12-28,202452,35.0
US-AK,02,2025-01-04,202501,64.0
US-AK,02,2025-01-11,202502,45.0
US-AK,02,2025-01-18,202503,33.0
US-AK,02,2025-01-25,202504,29.0
US-AK,02,2025-02-01,202505,30.0
US-AK,02,2025-02-08,202506,26.0
US-AK,02,2025-02-15,202507,53.0
US-AK,02,2025-02-22,202508,52.0
US-AK,02,2025-03-01,202509,57.0
US-AK,02,2025-03-08,202510,62.0
US-AK,02,2025-03-15,202511,31.0
US-AK,02,2025-03-22,202512,26.0
US-AK,02,2025-03-29,202513,32.0
US-AK,02,2025-04-05,202514,17.0
US-AK,02,2025-04-12,202515,16.0
US-AK,02,2025-04-19,202516,12.0
US-AK,02,2025-04-26,202517,9.0
US-AK,02,2025-05-03,202518,9.0
US-AK,02,2025-05-10,202519,5.0
US-AK,02,2025-05-17,202520,6.0
US-AK,02,2025-05-24,202521,10.0
US-AK,02,2025-05-31,202522,8.0
US-AK,02,2025-06-07,202523,11.0
US-AK,02,2025-06-14,202524,11.0
US-AK,02,2025-06-21,202525,17.0
US-AK,02,2025-06-28,202526,5.0
US-AK,02,2025-07-05,202527,4.0
US-AK,02,2025-07-12,202528,2.0
US-AK,02,2025-07-19,202529,6.0
US-AK,02,2025-07-26,202530,4.0
US-AK,02,2025-08-02,202531,2.0
US-AK,02,2025-08-09,202532,2.0
US-AK,02,2025-08-16,202533,4.0
US-AK,02,2025-08-23,202534,2.0
US-AK,02,2025-08-30,202535,2.0
US-AK,02,2025-09-06,202536,3.0
US-AK,02,2025-09-13,202537,12.0
US-AK,02,2025-09-20,202538,1.0
US-AK,02,2025-09-27,202539,1.0
US-AK,02,2025-10-04,202540,2.0
US-AK,02,2025-10-11,202541,0.0
US-AK,02,2025-10-18,202542,0.0
US-AK,02,2025-10-25,202543,1.0
US-AK,02,2025-11-01,202544,0.0
US-AK,02,2025-11-08,202545,3.0
US-AK,02,2025-11-15,202546,0.0
US-AK,02,2025-11-22,202547,3.0
US-AK,02,2025-11-29,202548,8.0
US-AK,02,2025-12-06,202549,13.0
US-AK,02,2025-12-13,202550,13.0
US-AK,02,2025-12-20,202551,45.0
US-AK,02,2025-12-27,202552,86.0
US-AK,02,2026-01-03,202553,75.0
US-AK,02,2026-01-10,202601,46.0
US-AK,02,2026-01-17,202602,38.0
US-AK,02,2026-01-24,202603,26.0
US-AK,02,2026-01-31,202604,28.0
US-AK,02,2026-02-07,202605,16.0
US-AK,02,2026-02-14,202606,15.0
US-AK,02,2026-02-21,202607,8.0
US-AK,02,2026-02-28,202608,5.0
US-AK,02,2026-03-07,202609,16.0
US-AK,02,2026-03-14,202610,13.0
US-AK,02,2026-03-21,202611,10.0
US-AK,02,2026-03-28,202612,9.0
US-AK,02,2026-04-04,202613,7.0
US-AK,02,2026-04-11,202614,10.0
US-AK,02,2026-04-18,202615,3.0
US-AK,02,2026-04-25,202616,5.0
US-AK,02,2026-05-02,202617,3.0
US-AK,02,2026-05-09,202618,4.0
US-AK,02,2026-05-16,202619,0.0
US-AK,02,2026-05-23,202620,0.0
US-AZ,04,2024-01-06,202401,907.0
US-AZ,04,2024-01-13,202402,716.0
US-AZ,04,2024-01-20,202403,682.0
US-AZ,04,2024-01-27,202404,616.0
US-AZ,04,2024-02-03,202405,343.0
US-AZ,04,2024-02-10,202406,183.0
US-AZ,04,2024-02-17,202407,204.0
US-AZ,04,2024-02-24,202408,204.0
US-AZ,04,2024-03-02,202409,182.0
US-AZ,04,2024-03-09,202410,125.0
US-AZ,04,2024-03-16,202411,134.0
US-AZ,04,2024-03-23,202412,106.0
US-AZ,04,2024-03-30,202413,97.0
US-AZ,04,2024-04-06,202414,81.0
US-AZ,04,2024-04-13,202415,85.0
US-AZ,04,2024-04-20,202416,79.0
US-AZ,04,2024-04-27,202417,105.0
US-AZ,04,2024-05-04,202418,75.0
US-AZ,04,2024-05-11,202419,73.0
US-AZ,04,2024-05-18,202420,66.0
US-AZ,04,2024-05-25,202421,66.0
US-AZ,04,2024-06-01,202422,68.0
US-AZ,04,2024-06-08,202423,53.0
US-AZ,04,2024-06-15,202424,69.0
US-AZ,04,2024-06-22,202425,44.0
US-AZ,04,2024-06-29,202426,23.0
US-AZ,04,2024-07-06,202427,29.0
US-AZ,04,2024-07-13,202428,29.0
US-AZ,04,2024-07-20,202429,16.0
US-AZ,04,2024-07-27,202430,12.0
US-AZ,04,2024-08-03,202431,10.0
US-AZ,04,2024-08-10,202432,25.0
US-AZ,04,2024-08-17,202433,17.0
US-AZ,04,2024-08-24,202434,25.0
US-AZ,04,2024-08-31,202435,26.0
US-AZ,04,2024-09-07,202436,14.0
US-AZ,04,2024-09-14,202437,24.0
US-AZ,04,2024-09-21,202438,18.0
US-AZ,04,2024-09-28,202439,14.0
US-AZ,04,2024-10-05,202440,40.0
US-AZ,04,2024-10-12,202441,4.0
US-AZ,04,2024-10-19,202442,14.0
US-AZ,04,2024-10-26,202443,187.0
US-AZ,04,2024-11-02,202444,141.0
US-AZ,04,2024-11-09,202445,272.0
US-AZ,04,2024-11-16,202446,356.0
US-AZ,04,2024-11-23,202447,488.0
US-AZ,04,2024-11-30,202448,558.0
US-AZ,04,2024-12-07,202449,882.0
US-AZ,04,2024-12-14,202450,1023.0
US-AZ,04,2024-12-21,202451,1534.0
US-AZ,04,2024-12-28,202452,2340.0
US-AZ,04,2025-01-04,202501,2846.0
US-AZ,04,2025-01-11,202502,1483.0
