location,reference_date,energyscore,energyscore_norm,location_name
US,2025-11-29,4632.200659561879,0.10314867416856414,United States
01,2025-11-29,120.02375292801986,0.2439507173333737,Alabama
02,2025-11-29,33.7936553436088,0.42776778915960506,Alaska
04,2025-11-29,49.43915551660827,0.1647971850553609,Arizona
05,2025-11-29,148.64856592229802,0.40614362273851917,Arkansas
06,2025-11-29,231.2188028049402,0.14237611010156417,California
08,2025-11-29,107.0196170863766,0.09146975819348427,Colorado
09,2025-11-29,384.5907947828518,0.45139764645874625,Connecticut
10,2025-11-29,88.73711768683336,0.5281971290882937,Delaware
11,2025-11-29,11.481314539540659,0.09567762116283882,District of Columbia
12,2025-11-29,596.3796325790817,0.1469639311431941,Florida
13,2025-11-29,235.62536980019343,0.17415031027360933,Georgia
15,2025-11-29,61.10819983712037,0.274027801960181,Hawaii
16,2025-11-29,56.73900111833798,0.2689052185703222,Idaho
17,2025-11-29,261.35136984877755,0.21652971818457128,Illinois
18,2025-11-29,111.71333407546109,0.1555896017764082,Indiana
19,2025-11-29,74.91874294630017,0.4653338071198768,Iowa
20,2025-11-29,87.48956418555481,0.5270455673828603,Kansas
21,2025-11-29,107.3864665154226,0.23810746455747805,Kentucky
22,2025-11-29,118.0739406303736,0.12085357280488597,Louisiana
23,2025-11-29,64.68058635381082,0.4430177147521289,Maine
24,2025-11-29,194.79783454305897,0.22211839742652106,Maryland
25,2025-11-29,330.5436211211893,0.3490428945313509,Massachusetts
26,2025-11-29,263.4146664796166,0.3077274141117016,Michigan
27,2025-11-29,432.2384801129541,0.44196163610731504,Minnesota
28,2025-11-29,60.74341122956575,0.21164951647932317,Mississippi
29,2025-11-29,226.5365833237626,0.4339781289727253,Missouri
30,2025-11-29,21.02441974030343,0.22606902946562826,Montana
31,2025-11-29,70.82154350720235,0.5532933086500184,Nebraska
32,2025-11-29,67.08850344601795,0.29554406804413197,Nevada
33,2025-11-29,66.67638195991381,0.3767027229373662,New Hampshire
34,2025-11-29,746.9021697091899,0.35549841490204187,New Jersey
35,2025-11-29,105.66788711746031,0.33333718333583695,New Mexico
36,2025-11-29,1642.090693251558,0.2346514280153698,New York
37,2025-11-29,805.0267704582487,0.3590663561365962,North Carolina
38,2025-11-29,45.06039412120553,0.4793658949064418,North Dakota
39,2025-11-29,410.0164471201515,0.29819377972374655,Ohio
40,2025-11-29,42.44764621231363,0.22821315167910552,Oklahoma
41,2025-11-29,19.96374590506929,0.11954338865310951,Oregon
42,2025-11-29,410.03517858656886,0.14514519595984737,Pennsylvania
44,2025-11-29,133.61608083213497,0.4738158894756559,Rhode Island
45,2025-11-29,221.91803357221013,0.3398438492683157,South Carolina
46,2025-11-29,18.463155643904404,0.43959894390248583,South Dakota
47,2025-11-29,104.37919160597616,0.15349881118525907,Tennessee
48,2025-11-29,332.5438543835264,0.08494095897408083,Texas
49,2025-11-29,97.66553126106169,0.3577491987584677,Utah
50,2025-11-29,12.356985600936564,0.4576661333680209,Vermont
51,2025-11-29,75.35134060223137,0.09211655330346134,Virginia
53,2025-11-29,32.92488302039039,0.1210473640455529,Washington
54,2025-11-29,70.27089768768126,0.5855908140640105,West Virginia
55,2025-11-29,290.98148558547047,0.47084382780820466,Wisconsin
56,2025-11-29,22.71976669994334,0.3245680957134763,Wyoming
US,2025-12-06,6552.251559618257,0.08477489403051179,United States
01,2025-12-06,386.95064092844154,0.4099053399665694,Alabama
02,2025-12-06,85.86078598798518,0.546883987184619,Alaska
04,2025-12-06,121.69422422437074,0.21387385628184666,Arizona
05,2025-12-06,74.81592253314943,0.1278904658686315,Arkansas
06,2025-12-06,569.8490549752898,0.2147132837133722,California
08,2025-12-06,233.27400838983394,0.12684829167473297,Colorado
09,2025-12-06,433.8703656866886,0.3034058501305515,Connecticut
10,2025-12-06,196.2189280630789,0.5361172897898331,Delaware
11,2025-12-06,52.33611643782425,0.25654959038149144,District of Columbia
12,2025-12-06,431.2373045880689,0.07820770848532262,Florida
13,2025-12-06,559.4141750897982,0.2162405006145335,Georgia
15,2025-12-06,25.770472635112966,0.09138465473444314,Hawaii
16,2025-12-06,39.505131997056594,0.1182788383145407,Idaho
17,2025-12-06,843.9080353724605,0.3288807620313564,Illinois
18,2025-12-06,480.0107808206288,0.3606392042228616,Indiana
19,2025-12-06,201.86908656581835,0.4984421890514033,Iowa
20,2025-12-06,256.5743492874492,0.6079960883588843,Kansas
21,2025-12-06,408.8618164548169,0.430834369288532,Kentucky
22,2025-12-06,320.23531551256445,0.20673680794871818,Louisiana
23,2025-12-06,109.07250294011547,0.3895446533575552,Maine
24,2025-12-06,227.9761302957158,0.16054657063078576,Maryland
25,2025-12-06,935.2935815833845,0.5110893888433795,Massachusetts
26,2025-12-06,775.0731531129779,0.4535243727986998,Michigan
27,2025-12-06,738.1708217926127,0.39944308538561296,Minnesota
28,2025-12-06,159.08294631766884,0.3119273457209193,Mississippi
29,2025-12-06,789.194409211595,0.6194618596637324,Missouri
30,2025-12-06,63.991094137033684,0.3167875947377905,Montana
31,2025-12-06,147.27252286408293,0.5222429888797268,Nebraska
32,2025-12-06,260.29811176687645,0.5344930426424568,Nevada
33,2025-12-06,181.56135218590768,0.5015506966461538,New Hampshire
34,2025-12-06,852.2061363802527,0.24969415071205764,New Jersey
35,2025-12-06,240.88006737526143,0.3627711858061166,New Mexico
36,2025-12-06,1737.9264395899595,0.1709379796980387,New York
37,2025-12-06,2118.5195967678283,0.4600476865945338,North Carolina
38,2025-12-06,84.58522366965283,0.4547592670411443,North Dakota
